Mushroom ID,Cap Shape,Cap Color,Gill Size,Stalk Shape,Habitat,Edibility,Market Demand,Spore Print Color,Population,Odor,Bruising,Ring Type,Stalk Surface Above Ring,Stalk Surface Below Ring,Stalk Color Above Ring,Stalk Color Below Ring,Veil Type,Veil Color,Growth Rate,Inspection Date,Incubation date,Temperature,Measurement
20,conical,brown,narrow,tapering,urban,edible,10,brown,scattered,creosote,Yes,pendant,scaly,fibrous,orange,gray,partial,brown,2.806382872,03/08/2023,03/01/2023,23.0,C
21,sunken,gray,narrow,tapering,urban,edible,3,black,scattered,anise,No,evanescent,fibrous,silky,brown,brown,partial,white,0.972110245,04/10/2023,04/04/2023,21.0,C
22,convex,red,narrow,enlarging,urban,edible,4,orange,numerous,foul,Yes,pendant,silky,silky,orange,orange,partial,white,3.978356469,03/07/2023,03/03/2023,1.0,C
23,conical,brown,broad,enlarging,urban,poisonous,4,black,numerous,almond,Yes,evanescent,smooth,fibrous,pink,gray,universal,orange,1.661912017,04/09/2023,04/01/2023,3.0,C
24,flat,yellow,narrow,enlarging,urban,edible,5,brown,scattered,anise,Yes,flaring,silky,smooth,orange,pink,partial,yellow,1.556834306,02/08/2023,02/05/2023,6.0,C
25,conical,brown,broad,enlarging,paths,poisonous,6,white,solitary,anise,Yes,evanescent,smooth,scaly,orange,gray,partial,brown,3.089211748,04/07/2023,04/01/2023,11.0,C
26,sunken,red,broad,enlarging,urban,edible,2,white,scattered,almond,No,pendant,fibrous,silky,white,brown,partial,white,0.502267005,02/07/2023,02/02/2023,26.0,C
27,convex,red,broad,tapering,woods,edible,2,yellow,solitary,foul,Yes,flaring,smooth,scaly,brown,gray,partial,yellow,1.592207281,4/14/2023,04/05/2023,5.0,C
28,sunken,gray,broad,enlarging,grasses,poisonous,1,brown,numerous,almond,Yes,flaring,silky,fibrous,gray,brown,universal,brown,3.702939206,05/01/2023,05/01/2023,28.0,C
29,conical,brown,narrow,enlarging,grasses,poisonous,1,brown,several,almond,No,evanescent,fibrous,scaly,gray,brown,universal,orange,4.534452789,02/04/2023,02/04/2023,3.0,C
30,conical,gray,narrow,enlarging,woods,poisonous,10,white,abundant,creosote,No,evanescent,silky,fibrous,white,brown,partial,yellow,0.502267005,03/04/2023,03/04/2023,11.0,C
31,conical,red,broad,enlarging,paths,edible,3,orange,numerous,almond,No,none,scaly,smooth,brown,pink,universal,orange,0.518327751,04/06/2023,04/01/2023,13.0,C
32,conical,gray,narrow,enlarging,woods,edible,3,white,solitary,anise,Yes,flaring,scaly,silky,orange,pink,universal,white,11.56745366,04/06/2022,04/01/2022,21.0,C
33,convex,white,narrow,enlarging,urban,edible,1,white,several,musty,No,none,scaly,smooth,gray,white,partial,yellow,3.143234818,03/07/2023,03/03/2023,4.0,C
34,conical,red,narrow,enlarging,grasses,,6,orange,solitary,almond,No,flaring,scaly,scaly,orange,white,universal,brown,3.269644388,3/14/2023,03/05/2023,28.0,C
35,bell,gray,narrow,enlarging,urban,poisonous,4,yellow,numerous,musty,Yes,evanescent,smooth,silky,pink,white,universal,white,4.910980688,02/02/2023,02/01/2023,23.0,C
36,bell,gray,narrow,enlarging,leaves,edible,1,brown,abundant,almond,No,pendant,silky,scaly,pink,gray,partial,brown,4.32343949,01/10/2023,01/04/2023,0.0,C
37,sunken,yellow,broad,tapering,urban,poisonous,9,brown,several,musty,No,evanescent,smooth,silky,pink,pink,universal,white,4.741876533,02/05/2023,02/03/2023,12.0,C
38,sunken,gray,narrow,enlarging,urban,poisonous,9,brown,abundant,creosote,Yes,none,silky,scaly,white,white,universal,yellow,3.440629756,01/09/2023,01/04/2023,25.0,C
39,bell,gray,broad,tapering,urban,,7,brown,numerous,almond,Yes,pendant,smooth,silky,brown,orange,universal,yellow,1.837350078,01/01/2023,01/01/2023,2.0,C
40,conical,white,narrow,enlarging,paths,edible,9,black,solitary,almond,Yes,pendant,smooth,silky,pink,gray,universal,orange,1.745118584,04/12/2022,04/04/2022,2.0,C
41,conical,white,narrow,tapering,grasses,,5,black,abundant,almond,Yes,none,smooth,fibrous,gray,white,universal,white,2.581496612,3/13/2023,03/05/2023,12.0,C
42,convex,gray,broad,enlarging,urban,,4,white,numerous,foul,No,pendant,scaly,smooth,white,white,universal,orange,4.552947763,04/10/2023,04/01/2023,25.0,C
43,bell,gray,broad,enlarging,urban,edible,1,white,abundant,almond,No,evanescent,silky,scaly,pink,brown,universal,white,3.467514155,03/05/2023,03/05/2023,9.0,C
44,convex,yellow,narrow,tapering,paths,,3,yellow,solitary,almond,Yes,none,smooth,silky,brown,gray,partial,orange,4.41296737,05/10/2022,05/02/2022,25.0,C
45,convex,gray,narrow,enlarging,urban,edible,2,orange,solitary,creosote,Yes,flaring,fibrous,fibrous,gray,orange,universal,brown,1.893680876,01/06/2023,01/04/2023,5.0,C
46,conical,gray,narrow,enlarging,urban,poisonous,2,white,numerous,creosote,Yes,none,silky,silky,pink,gray,partial,yellow,0.996436986,05/08/2023,05/04/2023,9.0,C
47,conical,white,broad,enlarging,urban,poisonous,7,orange,abundant,musty,No,flaring,smooth,silky,pink,pink,partial,white,4.833548413,05/02/2023,05/01/2023,19.0,C
48,conical,yellow,broad,tapering,woods,poisonous,7,black,solitary,almond,No,flaring,fibrous,smooth,gray,white,partial,white,2.533547657,03/11/2023,03/03/2023,16.0,C
49,convex,yellow,broad,tapering,urban,poisonous,8,brown,several,creosote,No,flaring,smooth,silky,gray,white,partial,white,3.116886795,03/06/2023,03/01/2023,18.0,C
50,conical,white,broad,enlarging,paths,edible,4,yellow,several,almond,Yes,flaring,smooth,silky,white,orange,universal,yellow,4.227525285,04/03/2023,04/02/2023,20.0,C
51,flat,yellow,narrow,tapering,paths,edible,3,brown,solitary,almond,No,evanescent,fibrous,fibrous,orange,orange,partial,yellow,3.84717803,05/08/2023,05/02/2023,10.0,C
52,convex,gray,narrow,tapering,leaves,edible,10,yellow,solitary,almond,No,none,silky,scaly,brown,gray,universal,orange,1.109469751,01/08/2023,01/02/2023,5.0,C
53,conical,white,broad,tapering,urban,poisonous,1,black,several,almond,No,flaring,scaly,fibrous,brown,gray,universal,white,3.381122835,2/13/2023,02/05/2023,25.0,C
54,conical,yellow,broad,tapering,urban,edible,5,black,scattered,foul,Yes,flaring,scaly,smooth,pink,orange,universal,yellow,4.668133576,04/08/2020,04/03/2020,19.0,C
55,convex,white,narrow,enlarging,leaves,poisonous,3,brown,solitary,musty,Yes,flaring,silky,silky,orange,pink,partial,yellow,1.781641598,02/08/2023,02/01/2023,4.0,C
56,bell,brown,broad,enlarging,woods,poisonous,8,white,numerous,anise,Yes,none,silky,silky,orange,gray,universal,yellow,10.54516812,03/07/2023,03/02/2023,21.0,C
57,conical,gray,narrow,enlarging,leaves,edible,6,black,solitary,anise,Yes,flaring,smooth,silky,white,white,partial,yellow,3.958665088,01/04/2022,01/02/2022,13.0,C
58,flat,white,broad,tapering,woods,edible,10,brown,scattered,almond,No,none,smooth,fibrous,white,white,partial,orange,4.236550689,02/02/2023,02/02/2023,25.0,C
59,bell,yellow,narrow,tapering,paths,edible,9,black,solitary,creosote,No,pendant,scaly,silky,white,orange,universal,white,4.970814936,05/10/2023,05/01/2023,5.0,C
60,flat,brown,broad,enlarging,grasses,,3,brown,several,foul,Yes,pendant,smooth,scaly,brown,white,partial,orange,0.991063275,02/10/2023,02/05/2023,7.0,C
61,conical,gray,broad,enlarging,grasses,poisonous,8,brown,numerous,foul,No,pendant,scaly,silky,orange,gray,universal,yellow,0.502267005,04/10/2023,04/03/2023,27.0,C
62,flat,gray,narrow,tapering,urban,edible,6,white,solitary,almond,Yes,pendant,smooth,fibrous,brown,orange,partial,white,4.715072417,04/04/2023,04/01/2023,19.0,C
63,conical,red,narrow,enlarging,leaves,poisonous,10,orange,abundant,almond,Yes,none,smooth,fibrous,pink,brown,universal,white,3.801316408,04/10/2023,04/04/2023,21.0,C
64,flat,yellow,broad,tapering,leaves,edible,3,white,several,almond,Yes,flaring,scaly,scaly,brown,gray,universal,yellow,1.622685433,03/05/2023,03/03/2023,25.0,C
65,bell,gray,narrow,enlarging,leaves,,2,yellow,abundant,almond,No,none,fibrous,scaly,white,gray,partial,orange,3.108825843,03/07/2023,03/01/2023,25.0,C
66,conical,gray,broad,enlarging,urban,poisonous,3,yellow,solitary,musty,No,evanescent,scaly,silky,white,pink,partial,orange,4.638214345,05/08/2023,05/02/2023,1.0,C
67,flat,white,broad,enlarging,grasses,,10,orange,numerous,anise,Yes,none,fibrous,fibrous,gray,pink,universal,yellow,1.441840862,03/09/2023,03/01/2023,19.0,C
68,flat,yellow,broad,enlarging,urban,edible,10,brown,solitary,musty,No,flaring,silky,smooth,pink,white,universal,white,3.250507562,5/13/2023,05/04/2023,25.0,C
69,conical,gray,broad,enlarging,grasses,poisonous,7,white,numerous,anise,Yes,flaring,fibrous,fibrous,brown,gray,partial,orange,1.982254213,04/02/2023,04/01/2023,11.0,C
70,conical,gray,broad,enlarging,woods,edible,5,yellow,numerous,foul,No,none,silky,smooth,brown,gray,partial,orange,3.320035956,01/11/2022,01/02/2022,22.0,C
71,flat,gray,broad,enlarging,urban,,3,white,scattered,almond,No,none,smooth,silky,gray,pink,partial,white,3.697873014,01/04/2023,01/02/2023,22.0,C
72,sunken,gray,narrow,enlarging,leaves,edible,7,orange,solitary,almond,Yes,evanescent,scaly,smooth,pink,pink,partial,brown,3.054613004,05/07/2023,05/01/2023,5.0,C
73,conical,gray,narrow,enlarging,paths,edible,1,black,solitary,almond,Yes,evanescent,silky,silky,white,gray,partial,orange,0.743855797,01/08/2020,01/04/2020,12.0,C
74,bell,gray,narrow,enlarging,leaves,poisonous,4,brown,numerous,anise,Yes,flaring,silky,silky,white,white,partial,brown,4.155687326,01/11/2022,01/02/2022,26.0,C
75,conical,gray,narrow,tapering,woods,edible,3,orange,numerous,anise,No,evanescent,scaly,silky,orange,orange,partial,white,3.668192458,04/05/2023,04/01/2023,14.0,C
76,sunken,gray,narrow,enlarging,urban,poisonous,7,black,abundant,anise,No,pendant,silky,smooth,gray,pink,universal,white,3.075357551,05/12/2020,05/04/2020,28.0,C
77,sunken,white,narrow,enlarging,woods,edible,3,yellow,solitary,musty,Yes,none,silky,fibrous,brown,orange,partial,yellow,2.431369842,01/01/2023,01/01/2023,3.0,C
78,conical,white,broad,tapering,leaves,,1,yellow,scattered,almond,No,none,smooth,scaly,pink,pink,universal,brown,2.778267025,05/06/2023,05/02/2023,25.0,C
79,bell,white,narrow,enlarging,leaves,,3,brown,several,almond,Yes,pendant,silky,silky,white,white,partial,brown,0.502267005,03/08/2023,03/04/2023,17.0,C
80,conical,gray,narrow,enlarging,urban,edible,8,black,numerous,creosote,Yes,flaring,fibrous,silky,white,gray,universal,white,2.783224146,03/01/2023,03/01/2023,5.0,C
81,conical,yellow,broad,enlarging,urban,poisonous,6,white,numerous,almond,No,none,silky,silky,pink,pink,partial,white,1.503357493,05/07/2023,05/03/2023,2.0,C
82,bell,red,narrow,enlarging,leaves,edible,6,white,abundant,anise,No,none,silky,scaly,orange,orange,partial,brown,3.523689913,05/11/2023,05/05/2023,26.0,C
83,flat,yellow,narrow,enlarging,leaves,edible,9,yellow,scattered,almond,No,pendant,smooth,silky,orange,pink,universal,orange,1.984395503,05/04/2021,05/02/2021,13.0,C
84,sunken,yellow,narrow,tapering,urban,poisonous,3,white,scattered,creosote,Yes,evanescent,scaly,smooth,pink,pink,partial,orange,3.496969193,05/08/2023,05/04/2023,10.0,C
85,convex,yellow,broad,enlarging,grasses,poisonous,2,brown,abundant,almond,Yes,none,smooth,fibrous,gray,pink,universal,yellow,4.088156946,03/09/2023,03/05/2023,9.0,C
86,convex,yellow,broad,tapering,urban,edible,5,white,numerous,creosote,Yes,pendant,smooth,silky,brown,orange,universal,orange,0.824195129,03/07/2023,03/01/2023,-6.666666666666667,C
87,flat,gray,broad,enlarging,urban,poisonous,8,brown,scattered,almond,No,none,silky,smooth,brown,gray,universal,brown,2.64628104,03/07/2023,03/05/2023,-17.22222222222222,C
88,conical,yellow,narrow,tapering,leaves,poisonous,8,orange,several,foul,Yes,evanescent,silky,scaly,white,orange,universal,brown,1.892435148,02/09/2023,02/05/2023,-11.11111111111111,C
89,conical,red,narrow,enlarging,urban,poisonous,1,orange,abundant,foul,No,flaring,silky,scaly,pink,white,universal,yellow,4.20715069,4/13/2023,04/05/2023,-17.77777777777778,C
90,bell,white,narrow,enlarging,leaves,edible,10,brown,abundant,foul,No,none,silky,scaly,brown,gray,universal,yellow,4.959421407,05/10/2023,05/03/2023,-9.444444444444445,C
91,sunken,gray,narrow,enlarging,grasses,poisonous,3,black,numerous,creosote,Yes,pendant,scaly,scaly,white,brown,universal,yellow,0.502267005,05/07/2022,05/02/2022,-5.0,C
92,convex,red,broad,tapering,grasses,poisonous,3,black,scattered,anise,No,none,fibrous,smooth,pink,gray,universal,brown,2.699625695,04/04/2023,04/03/2023,-8.333333333333334,C
93,flat,gray,broad,tapering,paths,edible,3,brown,numerous,almond,Yes,pendant,fibrous,scaly,orange,gray,universal,white,4.798603074,03/02/2023,03/01/2023,-14.444444444444445,C
94,convex,white,broad,tapering,urban,poisonous,2,yellow,numerous,creosote,Yes,flaring,smooth,silky,white,gray,partial,brown,1.447321592,01/09/2023,01/02/2023,-16.666666666666668,C
95,sunken,white,broad,tapering,urban,edible,2,yellow,scattered,foul,Yes,none,fibrous,scaly,pink,orange,partial,white,4.982354131,01/07/2021,01/02/2021,-3.888888888888889,C
96,bell,yellow,narrow,tapering,grasses,poisonous,6,white,numerous,almond,Yes,evanescent,silky,silky,brown,orange,universal,yellow,3.434696335,01/04/2021,01/02/2021,-17.22222222222222,C
97,flat,gray,broad,tapering,leaves,poisonous,3,black,abundant,creosote,No,none,silky,silky,pink,gray,universal,yellow,0.940377575,02/08/2023,02/02/2023,-11.11111111111111,C
98,bell,yellow,broad,enlarging,urban,poisonous,4,brown,numerous,anise,Yes,none,fibrous,scaly,white,white,universal,yellow,3.590187351,05/09/2021,05/02/2021,-4.444444444444445,C
99,bell,gray,broad,enlarging,urban,,3,white,several,anise,Yes,pendant,smooth,silky,brown,orange,universal,white,2.596868948,03/08/2023,03/04/2023,-5.555555555555555,C
100,flat,brown,narrow,enlarging,paths,edible,1,brown,numerous,almond,Yes,evanescent,smooth,smooth,orange,orange,partial,brown,4.807856986,2/13/2022,02/05/2022,-8.88888888888889,C
101,flat,red,narrow,tapering,urban,poisonous,3,brown,numerous,almond,No,evanescent,fibrous,smooth,orange,white,partial,yellow,0.922637447,01/09/2023,01/04/2023,-11.666666666666666,C
102,flat,gray,narrow,tapering,woods,poisonous,4,brown,scattered,anise,No,flaring,silky,smooth,pink,gray,partial,white,4.645426408,01/05/2023,01/04/2023,-16.666666666666668,C
103,bell,white,narrow,enlarging,urban,edible,7,brown,numerous,creosote,Yes,pendant,smooth,silky,pink,brown,universal,orange,3.365694369,02/08/2023,02/04/2023,-4.444444444444445,C
104,convex,red,broad,enlarging,grasses,poisonous,3,brown,abundant,foul,No,flaring,scaly,silky,brown,brown,partial,white,1.369873318,03/12/2023,03/05/2023,-9.444444444444445,C
105,convex,gray,broad,tapering,grasses,poisonous,2,black,solitary,almond,No,flaring,scaly,smooth,pink,brown,partial,yellow,3.459150215,03/09/2023,03/02/2023,-4.444444444444445,C
106,convex,brown,narrow,tapering,paths,poisonous,10,brown,scattered,almond,Yes,pendant,scaly,smooth,orange,white,universal,brown,3.38863382,05/01/2023,05/01/2023,-11.666666666666666,C
107,bell,yellow,broad,tapering,woods,edible,3,brown,several,musty,No,pendant,smooth,fibrous,white,brown,universal,white,21.51176321,01/12/2023,01/05/2023,-11.11111111111111,C
108,flat,gray,narrow,tapering,paths,,2,white,numerous,almond,Yes,flaring,smooth,fibrous,pink,orange,partial,white,2.785374801,01/03/2023,01/01/2023,-9.444444444444445,C
109,convex,gray,broad,enlarging,woods,,6,orange,several,creosote,No,evanescent,fibrous,silky,orange,brown,partial,brown,1.480604028,05/04/2023,05/01/2023,-13.333333333333334,C
110,conical,red,broad,enlarging,paths,edible,9,white,scattered,almond,Yes,pendant,smooth,scaly,orange,pink,universal,orange,3.127406964,05/06/2023,05/04/2023,-6.111111111111111,C
111,bell,yellow,broad,enlarging,leaves,edible,2,brown,abundant,almond,Yes,pendant,fibrous,fibrous,gray,pink,partial,white,1.168755012,05/03/2023,05/03/2023,-14.444444444444445,C
112,flat,gray,narrow,tapering,leaves,,9,white,solitary,creosote,Yes,none,fibrous,silky,pink,gray,partial,brown,1.388170657,03/02/2023,03/01/2023,-2.2222222222222223,C
113,flat,red,narrow,tapering,urban,edible,10,orange,numerous,foul,Yes,evanescent,silky,silky,pink,white,partial,orange,3.702197092,01/07/2023,01/03/2023,-4.444444444444445,C
114,bell,gray,narrow,enlarging,paths,poisonous,8,brown,several,anise,Yes,pendant,smooth,silky,pink,gray,partial,orange,1.946960779,02/07/2023,02/02/2023,-7.777777777777778,C
115,convex,yellow,broad,enlarging,leaves,edible,1,black,scattered,creosote,Yes,none,smooth,scaly,brown,gray,partial,orange,0.56144318,02/11/2023,02/02/2023,23.0,C
116,convex,gray,narrow,enlarging,urban,edible,6,black,solitary,foul,No,none,scaly,scaly,white,pink,universal,orange,4.568854923,04/10/2023,04/04/2023,-3.3333333333333335,C
117,bell,brown,narrow,tapering,woods,,10,white,abundant,anise,Yes,pendant,scaly,scaly,white,brown,universal,white,0.502267005,1/14/2022,01/05/2022,23.0,C
118,conical,yellow,broad,tapering,woods,edible,3,brown,solitary,creosote,No,flaring,silky,smooth,white,orange,universal,white,3.145408692,02/04/2023,02/02/2023,27.0,C
119,conical,gray,broad,enlarging,woods,poisonous,3,orange,scattered,anise,Yes,none,silky,silky,gray,orange,partial,orange,2.030304015,01/02/2023,01/02/2023,12.0,C
120,conical,gray,narrow,tapering,grasses,poisonous,2,yellow,abundant,creosote,Yes,pendant,silky,scaly,pink,pink,universal,white,4.792708881,01/02/2023,01/01/2023,2.0,C
121,conical,yellow,broad,enlarging,paths,edible,2,orange,several,musty,Yes,flaring,silky,scaly,white,brown,universal,white,1.998637975,04/10/2023,04/03/2023,22.0,C
122,bell,white,narrow,tapering,urban,edible,9,yellow,solitary,foul,No,none,silky,smooth,gray,brown,partial,white,3.946223916,03/07/2023,03/05/2023,1.0,C
123,conical,red,broad,enlarging,grasses,edible,7,orange,several,almond,No,pendant,silky,silky,white,white,universal,brown,3.776204358,03/09/2023,03/04/2023,16.0,C
124,sunken,gray,narrow,tapering,paths,,4,yellow,solitary,almond,Yes,flaring,fibrous,scaly,white,gray,universal,yellow,1.508937433,05/08/2023,05/01/2023,24.0,C
125,conical,gray,broad,tapering,paths,,9,black,scattered,foul,No,evanescent,smooth,smooth,pink,white,universal,yellow,3.942406863,05/07/2023,05/01/2023,28.0,C
126,conical,red,narrow,enlarging,paths,edible,6,black,solitary,musty,Yes,evanescent,smooth,fibrous,white,gray,partial,yellow,4.829023832,01/08/2023,01/03/2023,22.0,C
127,flat,yellow,broad,tapering,paths,edible,6,yellow,scattered,anise,Yes,none,fibrous,fibrous,pink,white,partial,brown,4.683634882,05/05/2023,05/04/2023,19.0,C
128,bell,yellow,broad,enlarging,grasses,poisonous,9,white,several,anise,No,flaring,silky,fibrous,white,brown,partial,yellow,3.575195108,04/10/2020,04/03/2020,6.0,C
129,bell,gray,narrow,tapering,urban,edible,9,brown,numerous,creosote,No,pendant,silky,scaly,pink,white,universal,brown,2.266645796,03/06/2023,03/05/2023,15.0,C
130,sunken,white,narrow,enlarging,leaves,poisonous,3,yellow,abundant,almond,Yes,none,silky,silky,brown,orange,partial,orange,1.38005347,03/11/2023,03/02/2023,27.0,C
131,conical,gray,narrow,enlarging,leaves,poisonous,10,white,numerous,anise,No,evanescent,silky,smooth,gray,gray,partial,yellow,2.563703392,04/03/2023,04/01/2023,17.0,C
132,convex,yellow,broad,tapering,urban,poisonous,6,orange,numerous,foul,No,none,smooth,fibrous,orange,pink,partial,white,1.911028882,03/08/2023,03/05/2023,2.0,C
133,convex,yellow,broad,tapering,leaves,edible,3,yellow,numerous,anise,Yes,flaring,fibrous,scaly,gray,white,universal,yellow,3.519372904,01/07/2023,01/02/2023,18.0,C
134,sunken,gray,broad,enlarging,urban,poisonous,8,black,abundant,foul,No,none,scaly,fibrous,pink,gray,universal,brown,1.989565508,3/14/2023,03/05/2023,13.0,C
135,flat,white,narrow,tapering,urban,edible,8,brown,numerous,foul,No,flaring,silky,smooth,orange,pink,partial,white,1.034965122,05/12/2023,05/05/2023,14.0,C
136,conical,red,broad,enlarging,paths,poisonous,3,black,several,almond,Yes,pendant,smooth,smooth,orange,gray,partial,brown,3.303810228,04/10/2023,04/02/2023,8.0,C
137,conical,red,broad,enlarging,urban,edible,2,orange,several,musty,Yes,none,silky,silky,gray,pink,universal,orange,0.502267005,01/08/2020,01/04/2020,4.0,C
138,conical,red,narrow,tapering,urban,edible,7,orange,scattered,almond,Yes,flaring,smooth,silky,white,brown,partial,white,3.174059884,03/09/2023,03/01/2023,23.0,C
139,conical,gray,broad,tapering,urban,edible,9,brown,solitary,foul,No,flaring,smooth,fibrous,brown,brown,universal,brown,0.74133545,1/13/2023,01/04/2023,-15.555555555555555,C
140,sunken,brown,broad,tapering,grasses,,9,black,solitary,foul,Yes,evanescent,smooth,fibrous,brown,orange,partial,white,1.128443449,05/04/2022,05/02/2022,12.0,C
141,conical,brown,narrow,enlarging,grasses,,1,orange,several,creosote,Yes,pendant,silky,smooth,pink,orange,partial,white,1.075815131,02/04/2023,02/04/2023,-16.11111111111111,C
142,conical,brown,broad,enlarging,urban,edible,3,white,several,foul,Yes,flaring,fibrous,silky,white,gray,universal,white,1.70527243,04/04/2023,04/02/2023,25.0,C
143,convex,brown,broad,enlarging,urban,edible,6,brown,abundant,anise,Yes,none,fibrous,fibrous,orange,gray,partial,white,2.692844878,01/12/2023,01/04/2023,10.0,C
144,bell,brown,broad,tapering,paths,edible,4,brown,several,anise,Yes,pendant,silky,smooth,gray,pink,partial,orange,1.814086362,04/11/2023,04/02/2023,21.0,C
145,conical,brown,narrow,enlarging,leaves,poisonous,8,white,numerous,creosote,Yes,flaring,silky,silky,white,orange,partial,brown,4.064947894,03/04/2023,03/04/2023,25.0,C
146,bell,white,narrow,enlarging,grasses,edible,9,brown,several,almond,Yes,none,smooth,smooth,white,gray,universal,orange,1.983826522,04/09/2023,04/03/2023,9.0,C
147,flat,brown,broad,enlarging,grasses,edible,10,white,scattered,musty,Yes,pendant,silky,smooth,orange,gray,universal,white,0.650209223,02/07/2023,02/04/2023,15.0,C
148,conical,white,narrow,tapering,urban,,3,black,numerous,foul,Yes,pendant,silky,fibrous,white,gray,universal,orange,1.593615429,04/06/2023,04/03/2023,9.0,C
149,convex,gray,narrow,tapering,urban,edible,2,brown,several,almond,No,none,silky,fibrous,orange,pink,universal,brown,0.502267005,4/13/2022,04/04/2022,28.0,C
150,flat,yellow,broad,enlarging,woods,edible,9,brown,numerous,musty,Yes,none,fibrous,scaly,gray,gray,universal,white,2.156650015,04/04/2023,04/03/2023,16.0,C
151,conical,yellow,narrow,enlarging,paths,edible,7,yellow,abundant,foul,Yes,flaring,silky,smooth,gray,gray,universal,yellow,3.626873151,1/14/2023,01/05/2023,4.0,C
152,convex,yellow,broad,enlarging,leaves,poisonous,10,white,solitary,musty,Yes,none,scaly,scaly,gray,gray,partial,orange,0.502267005,05/11/2023,05/03/2023,22.0,C
153,sunken,white,narrow,tapering,grasses,poisonous,3,black,scattered,creosote,Yes,evanescent,smooth,fibrous,gray,white,universal,white,0.688557413,03/09/2023,03/03/2023,25.0,C
154,convex,brown,narrow,enlarging,paths,edible,9,brown,scattered,musty,No,none,silky,smooth,gray,brown,universal,yellow,4.918808029,02/03/2023,02/02/2023,4.0,C
155,bell,white,broad,tapering,woods,poisonous,10,brown,numerous,creosote,Yes,flaring,silky,smooth,pink,gray,universal,yellow,0.665365329,04/10/2023,04/01/2023,2.0,C
