Customer_Age,Transaction_Count,Product_Category,Region,Repeat_Customer,Income_Level,Annual_Spend,Average_Discount_Utilized,Session_Duration_Minutes,Page_Views_per_Session,Ad_Clicks_per_Session,Products_Viewed_per_Session,Subscription_Status,Sales_Amount_ImputeMean,Customer_LT_ImputeMean
62,6,B,East,Yes,Low,4115.672345,8.453132329,28.75113115,2,3,2,Subscribed,129.3129754,17328.24384
27,3,C,West,Yes,Low,4681.526241,26.47779394,30.15697796,4,2,3,Subscribed,95.48447399,8871.118498
48,8,B,North,Yes,Medium,2322.962125,17.50145648,32.18659307,8,1,5,Subscribed,101.3505641,10337.64102
58,8,A,South,Yes,Medium,4577.49951,21.87233008,25.53679485,5,3,3,Not_Subscribed,71.50503628,2876.259069
25,5,D,East,Yes,Low,1946.730656,10.9766596,27.99360701,5,3,4,Subscribed,89.11234551,7278.086377
20,4,D,South,No,Medium,2643.966439,23.95101053,33.67510411,6,2,3,Subscribed,102.2184518,10554.61295
63,2,D,North,Yes,Medium,1517.13049,24.00013862,40.40430893,2,1,10,Subscribed,76.98012845,4245.032113
26,6,D,West,Yes,Low,3382.14219,12.81495062,10.4495123,4,2,2,Subscribed,107.5139604,11878.49009
47,5,B,East,Yes,Low,4905.415018,15.26706583,26.31060561,7,2,2,Subscribed,87.9872262,6996.80655
28,6,B,North,Yes,High,3215.718932,10.24225694,32.13808794,3,4,6,Subscribed,94.166125,8541.531251
52,7,B,North,No,High,2110.163379,29.41402558,20.82023895,6,1,3,Not_Subscribed,87.96586776,6991.466939
54,3,A,South,Yes,Low,3415.178507,21.14006443,47.31169632,2,0,3,Subscribed,137.0455637,19261.39092
59,9,B,West,No,High,1053.143053,28.36359702,23.6459012,8,7,6,Not_Subscribed,99.73005551,9932.513876
30,2,B,North,No,Medium,4498.965861,12.58463859,29.58707313,10,1,0,Not_Subscribed,78.84578142,4711.445355
53,0,D,South,No,Low,2763.877779,24.54727282,35.56022097,5,2,5,Not_Subscribed,116.4508982,14112.72456
30,6,B,East,No,High,2522.073839,24.1464661,24.08715211,4,1,1,Subscribed,75.583127,3895.78175
29,4,C,South,No,Low,3136.391548,22.2913913,11.53426952,4,7,9,Not_Subscribed,104.1772719,11044.31798
54,6,C,East,Yes,High,3311.527383,29.14097438,25.71345473,8,1,3,Not_Subscribed,60.80659752,201.6493806
27,4,D,South,No,Low,822.991128,14.8388834,40.29440556,9,4,6,Subscribed,73.43627902,3359.069756
26,5,B,West,No,Medium,3571.777496,8.26793309,26.63104873,7,0,0,Subscribed,103.9372247,10984.30618
24,2,C,South,Yes,High,1588.692561,21.79272148,21.53565699,7,1,3,Not_Subscribed,114.7693316,13692.3329
19,5,C,West,No,Low,3712.786846,23.23274501,39.2567221,3,3,5,Not_Subscribed,103.4273656,10856.84141
40,4,A,West,Yes,Medium,4201.406575,19.37651434,26.69225104,8,5,3,Not_Subscribed,97.68703435,9421.758588
56,3,D,East,Yes,High,4117.813284,10.17044733,24.89839186,7,3,5,Subscribed,93.97792609,8494.481522
57,5,C,South,Yes,High,2986.254353,17.61139854,31.4945609,2,1,5,Subscribed,70.42956019,2607.390048
56,3,C,South,Yes,Low,2840.764515,12.80474341,37.7075021,5,1,6,Subscribed,85.60311583,6400.778958
38,3,D,South,No,Medium,1142.941826,15.6866632,53.81713532,7,3,6,Not_Subscribed,90.78722458,7696.806145
40,4,B,West,No,Low,3989.057677,21.1304644,38.27236108,6,1,5,Subscribed,121.1424445,15285.61113
46,8,D,North,No,High,1721.342212,23.63036857,41.59839966,1,3,2,Subscribed,106.8723658,11718.09145
31,5,A,South,Yes,Low,2735.129403,10.80561727,24.94033801,3,2,4,Subscribed,64.73919689,1184.799223
43,4,A,South,Yes,Low,1779.233418,15.13313402,19.74131894,4,0,2,Not_Subscribed,106.4816794,11620.41985
22,4,A,North,Yes,Medium,1102.227633,11.72903927,30.6233135,4,0,5,Subscribed,92.29835439,8074.588598
48,4,C,East,No,Medium,3333.009636,9.965790347,31.07169915,3,2,3,Not_Subscribed,86.46155999,6615.389998
42,4,B,South,Yes,High,744.4941567,24.5846805,19.21487259,7,3,3,Not_Subscribed,112.2335258,13058.38144
48,7,A,North,No,Medium,3868.903554,27.73131736,28.2470547,9,1,3,Subscribed,120.6199904,15154.99761
37,8,D,South,No,Low,1929.140579,14.25580464,33.99317602,4,2,7,Subscribed,118.6256024,14656.4006
61,7,A,West,Yes,High,500.6061185,23.78197311,33.60393395,3,1,7,Subscribed,100.91255216895318,5803.912384
34,3,C,North,Yes,Medium,2800.081127,27.42488223,35.04287853,4,1,4,Not_Subscribed,93.81575248,8453.938121
62,6,A,West,Yes,Low,710.8335884,26.15310526,32.9096473,4,1,1,Not_Subscribed,100.91255216895318,11656.31716
19,6,B,North,Yes,Low,1742.76301,9.570334713,24.92991341,6,3,5,Not_Subscribed,119.5109025,14877.72564
42,4,A,East,Yes,High,3681.394194,28.90729704,24.86099373,3,1,6,Not_Subscribed,90.41651524,10193.947060490147
30,6,B,West,No,High,782.1032973,14.41691101,18.01048602,10,4,2,Subscribed,96.28682047,9071.705117
56,9,B,South,No,Medium,4277.023216,13.48101653,47.84775039,5,3,3,Subscribed,77.87330052,4468.32513
45,6,D,North,Yes,Medium,517.189652,6.560783182,30.13450365,5,4,4,Not_Subscribed,100.91255216895318,4018.96688
59,4,B,South,Yes,Medium,1610.707411,17.15434135,27.75146944,3,2,0,Not_Subscribed,116.2505164,14062.62911
23,6,C,East,Yes,Medium,3834.068253,7.725340391,20.71207919,2,1,2,Not_Subscribed,127.1248006,16781.20014
20,7,C,North,No,High,1923.215674,11.21349552,59.35657902,7,1,4,Not_Subscribed,98.55979757,9639.949392
52,4,B,East,No,Low,958.5157463,12.92356554,19.26671968,5,2,5,Subscribed,120.070658,15017.66449
35,3,B,North,No,Low,2121.052635,25.22065809,25.71152074,4,2,2,Subscribed,107.2327205,11808.18013
28,4,A,West,No,Medium,1716.769789,26.88721626,34.15836836,6,2,2,Subscribed,87.09760491,6774.401227
37,5,A,South,Yes,High,4292.20356,12.56165794,36.00212966,5,4,3,Subscribed,107.2279121,11806.97803
22,3,D,West,No,Medium,1910.065629,26.46745303,39.57932055,4,1,2,Not_Subscribed,130.7607313,17690.18283
36,5,A,West,No,Medium,4050.196123,26.43077343,48.07608508,7,2,4,Not_Subscribed,99.28347922,9820.869804
39,3,C,West,Yes,High,4513.424652,24.11627376,35.06157655,4,1,3,Subscribed,131.2928731,17823.21828
36,5,A,West,Yes,Low,2452.178388,8.66737785,19.439692,2,1,2,Subscribed,47.60509792,-3098.72552
64,5,D,North,No,Low,4594.744147,22.25807117,27.43054875,3,3,4,Subscribed,116.4380501,14109.51252
33,5,D,South,Yes,Medium,2197.931243,28.62560161,33.07832373,8,1,3,Subscribed,101.7409414,10435.23534
41,6,B,North,Yes,High,4838.352874,22.06351197,50.68226042,5,4,3,Subscribed,94.01985299,8504.963248
58,6,D,North,Yes,Low,901.8028604,13.29042123,16.02194522,6,2,4,Subscribed,101.8352155,10458.80388
21,6,B,North,No,Low,3591.586699,17.51448294,42.02576505,2,0,3,Not_Subscribed,60.24862171,62.155427
32,5,C,West,No,High,2722.163182,21.14312608,31.7991437,3,5,5,Not_Subscribed,95.60656224,8901.640561
42,7,C,East,Yes,High,2244.419625,17.76426022,38.37830535,3,3,2,Subscribed,107.1422514,11785.56286
61,3,A,West,Yes,Low,3347.203454,7.998823543,28.98005283,7,2,6,Subscribed,129.5578809,17389.47022
52,5,D,North,No,Medium,3667.356912,12.80160112,21.5756737,5,0,3,Not_Subscribed,89.63459563,7408.648909
31,7,C,West,No,Medium,519.6347134,25.05990076,37.50872779,2,0,4,Not_Subscribed,100.91255216895318,5957.531986
36,2,B,South,Yes,Low,1251.288899,26.53545115,36.54431027,2,4,2,Subscribed,89.96485913,7491.214782
55,8,D,South,Yes,Medium,3708.707228,8.432500818,39.72056966,7,1,1,Not_Subscribed,118.3080424,14577.01059
53,4,D,West,No,Medium,3498.734361,28.80966881,29.86695365,8,1,5,Not_Subscribed,106.5750222,11643.75555
24,2,B,West,Yes,High,4847.213773,13.22056545,24.00177977,4,1,1,Not_Subscribed,89.40479592,7351.198981
47,5,D,East,No,High,3924.670056,21.55784347,14.41213005,4,4,0,Not_Subscribed,110.2653487,10193.947060490147
36,5,D,West,Yes,High,4778.477185,23.79562865,38.19373268,4,1,3,Not_Subscribed,101.941551,10485.38775
42,4,C,West,No,Medium,3661.432257,25.29865587,34.23889482,3,6,4,Not_Subscribed,119.3728998,14843.22495
33,6,B,East,Yes,High,1841.234939,28.64374256,20.34217367,4,3,6,Not_Subscribed,85.95893812,10193.947060490147
64,8,C,West,No,High,974.1421501,12.8229887,24.61426327,6,0,4,Not_Subscribed,93.44675707,8361.689267
57,4,B,West,Yes,Low,4018.207385,26.46266136,25.33241188,5,1,1,Not_Subscribed,92.15783694,8039.459234
25,3,A,West,Yes,High,3398.671497,8.292172586,15.17015568,5,3,3,Not_Subscribed,70.72970104,2682.425259
35,6,D,West,Yes,Low,716.8370558,22.62602266,21.82317603,3,2,1,Subscribed,100.91255216895318,11480.60139
45,4,D,West,Yes,Medium,2120.227097,23.54944324,18.66169643,6,2,5,Subscribed,105.2211054,11305.27636
33,2,C,North,No,High,4805.59917,21.94308103,25.87520988,4,2,4,Not_Subscribed,100.1022691,10025.56728
36,3,D,West,Yes,Low,2751.805156,11.3078684,22.61302502,2,1,3,Subscribed,95.30825733,8827.064333
59,1,D,East,No,Low,2447.281112,26.82607868,13.72995079,5,1,5,Subscribed,71.69258516,2923.14629
34,9,C,West,No,Low,2559.648223,9.221461584,50.22590231,7,2,5,Not_Subscribed,91.58709354,7896.773386
62,5,C,North,Yes,Medium,1439.972258,6.340869788,42.52540731,8,1,3,Subscribed,93.14570967,8286.427417
30,3,B,East,No,High,2159.182269,22.93662477,22.20980578,0,2,4,Not_Subscribed,83.95445462,5988.613654
24,4,A,East,Yes,Medium,2164.159652,16.88689288,32.72421397,5,2,6,Subscribed,96.77428577,9193.571442
44,3,C,West,No,Low,735.5975908,26.2274505,34.1746509,4,2,3,Subscribed,108.0810171,12020.25428
27,4,B,South,Yes,Medium,3954.054328,14.58492853,41.91085855,6,2,2,Subscribed,137.723718,19430.92951
51,6,C,North,Yes,Medium,2374.269944,9.206964713,21.81394973,4,3,1,Not_Subscribed,103.4915563,10872.88906
53,4,B,South,No,Low,4199.809491,25.91105481,40.92106784,7,1,7,Subscribed,105.1510078,11287.75195
42,2,A,West,No,High,4326.566005,18.72274079,24.52094696,2,6,6,Not_Subscribed,98.51108168,9627.770421
23,6,B,North,Yes,High,1453.973246,9.72989481,16.64137596,3,2,3,Subscribed,61.62457569,406.1439235
41,3,B,South,No,Medium,3458.09067,23.00959996,37.24136559,3,1,1,Subscribed,99.46972249,9867.430623
35,6,D,North,Yes,High,2625.268119,17.77784096,42.90758424,5,0,5,Not_Subscribed,101.2046042,10301.15105
40,2,C,West,Yes,Low,4460.705321,20.10782456,55.87908974,6,2,5,Subscribed,149.2648422,22316.21056
23,8,B,North,No,High,1470.833056,16.52245846,18.00274735,9,1,3,Not_Subscribed,96.1527807,9038.195176
46,3,C,West,Yes,Medium,3550.159401,25.7177246,36.98919685,6,1,5,Not_Subscribed,106.0309468,11507.73671
42,6,B,South,No,Low,3234.88455,25.73906789,25.90198756,7,1,7,Not_Subscribed,99.30576461,9826.441151
34,4,D,North,Yes,Low,1828.856649,22.73472055,37.83358711,2,1,4,Not_Subscribed,76.62643925,4156.609812
63,5,D,East,Yes,Low,1114.704066,7.635034435,15.29510449,2,2,4,Subscribed,122.8564563,15714.11407
41,6,A,West,Yes,Medium,3432.378922,25.97134655,17.37230224,8,0,7,Not_Subscribed,115.0386607,13759.66516
28,1,B,North,No,Medium,3823.688562,21.77532451,22.24125177,8,1,5,Not_Subscribed,115.8206389,13955.15974
43,5,D,East,Yes,High,1920.323047,22.42560415,30.78964046,8,3,2,Not_Subscribed,81.8122509,5453.062726
51,7,C,East,Yes,Medium,3401.746718,14.07457101,23.58918733,7,1,4,Subscribed,128.0558862,17013.97155
45,6,B,East,No,Low,2278.089084,26.9819889,36.59054344,6,2,2,Subscribed,71.96297874,2990.744686
20,6,B,East,Yes,Medium,3709.430975,23.13429001,40.26894618,2,1,6,Not_Subscribed,111.7371419,12934.28547
28,7,A,West,No,Medium,1396.468737,7.814761663,35.99577541,7,0,3,Subscribed,143.8091125,20952.27813
55,4,C,North,No,High,4505.967512,15.19445086,46.1878764,6,3,6,Subscribed,80.1892735,5047.318374
31,3,A,East,No,Low,1793.343184,27.15950905,34.15826629,5,1,6,Not_Subscribed,88.67404541,7168.511352
43,8,B,North,Yes,High,2155.036945,6.179917542,17.8310329,6,7,6,Not_Subscribed,101.9930273,10498.25683
38,4,A,North,No,High,761.4137844,29.03541549,43.63376514,4,3,4,Subscribed,89.93048692,7482.621729
56,5,B,South,Yes,High,1001.804955,21.97906421,23.94843764,4,0,4,Subscribed,68.98673138,2246.682845
47,5,B,North,No,Low,2821.378562,20.78439944,39.104185,4,3,4,Subscribed,101.3712595,10342.81487
25,3,A,West,Yes,High,1704.167045,11.76398141,45.73734217,5,3,1,Subscribed,78.75392573,4688.481431
37,9,A,West,No,Low,4259.661016,11.21979472,34.56688011,4,3,4,Not_Subscribed,109.4718486,12367.96215
49,8,B,East,No,High,566.1202489,28.55145549,15.03841187,7,0,4,Subscribed,100.91255216895318,5402.878829
39,6,A,North,No,High,2205.923219,12.45681136,20.81787833,2,0,4,Subscribed,130.9986881,17749.67203
24,3,A,West,Yes,Low,2018.05496,24.38763242,43.22744467,4,1,2,Subscribed,84.33493415,6083.733538
26,5,B,West,No,Medium,586.9743391,14.82804496,28.30877314,1,2,1,Not_Subscribed,100.91255216895318,8389.692419
62,5,C,West,Yes,High,1059.657796,8.48135177,30.79573535,6,1,5,Subscribed,116.2703443,14067.58609
18,5,A,East,Yes,Medium,2361.392037,5.267882442,37.58824416,1,7,7,Not_Subscribed,75.38271367,3845.678418
46,3,A,West,Yes,High,2717.89063,18.60643343,36.96322862,6,1,5,Not_Subscribed,104.5491987,11137.29967
25,7,D,North,Yes,Medium,2319.303863,29.39447046,32.78799812,6,0,6,Not_Subscribed,126.1428551,10193.947060490147
21,3,C,West,Yes,Medium,2889.219553,14.22840485,27.91331629,0,2,3,Subscribed,67.85033531,1962.583827
52,0,A,West,Yes,Medium,3178.092537,13.92980835,26.87331554,6,3,2,Subscribed,103.6926772,10923.16929
20,6,B,East,No,Medium,544.6571951,13.60229045,38.57898825,1,3,3,Not_Subscribed,100.91255216895318,10193.947060490147
62,6,D,North,No,Medium,2588.428218,18.01359593,35.53569531,4,2,5,Subscribed,115.6364574,13909.11436
57,4,D,West,Yes,Low,4835.746584,16.01662209,27.42699999,6,2,6,Not_Subscribed,75.26098578,3815.246446
24,5,D,North,Yes,Medium,2835.645261,26.99786567,40.82112313,7,1,6,Not_Subscribed,73.59086774,3397.716935
44,9,A,North,No,Low,3548.940204,17.63801979,28.70965885,6,1,5,Subscribed,110.4388313,12609.70783
18,5,B,West,No,High,1903.387361,17.69394595,21.48337826,3,2,4,Not_Subscribed,105.9396935,10193.947060490147
44,4,D,East,Yes,Low,3982.961202,8.459289868,22.41029301,7,1,6,Not_Subscribed,105.009857,11252.46425
33,3,C,North,No,Medium,3978.146668,29.56848852,20.21259164,6,1,4,Subscribed,106.9289642,11732.24105
55,6,D,South,Yes,Low,2845.832214,11.24932227,27.27589983,5,3,2,Not_Subscribed,86.39950557,6599.876392
24,2,D,West,No,Medium,4892.062205,6.834101686,42.33724278,7,2,4,Subscribed,104.6450739,11161.26849
61,6,C,North,No,Low,1064.975966,21.57865622,21.94904819,4,2,4,Subscribed,105.8614495,11465.36237
40,6,D,North,No,High,576.264492,19.88415925,31.88475761,7,1,3,Not_Subscribed,100.91255216895318,6428.24291
58,6,D,North,No,Medium,3965.711953,15.37864135,23.43310654,1,2,2,Not_Subscribed,137.3154902,19328.87256
28,5,C,West,No,Medium,4132.199918,15.55480585,27.39690959,2,3,4,Subscribed,109.4766584,12369.1646
59,3,A,South,Yes,Low,1040.932531,24.62659803,14.89958788,2,1,5,Not_Subscribed,76.17393006,4043.482514
50,4,C,North,Yes,Low,1695.122748,9.892816002,27.79461771,6,3,3,Subscribed,113.1310722,13282.76804
53,4,A,North,No,Low,578.9856351,25.50633297,28.0629462,8,3,5,Not_Subscribed,100.91255216895318,5126.591649
54,5,A,East,Yes,Low,1819.888749,21.21867785,35.40287944,6,2,4,Subscribed,115.7416921,13935.42302
58,4,A,West,Yes,Low,3979.138433,15.47424434,32.23280913,0,3,2,Not_Subscribed,123.1719116,15792.9779
34,4,C,West,No,Medium,2830.822375,16.45071541,18.01607875,10,6,4,Subscribed,83.58635363,5896.588408
52,5,C,North,Yes,High,2066.430169,11.41618018,40.84198244,2,3,4,Not_Subscribed,119.2675226,14816.88065
22,5,A,East,Yes,Low,2172.826827,23.80285832,32.1030304,5,1,4,Not_Subscribed,108.2556185,12063.90463
49,5,C,North,No,Medium,506.0913157,17.82186856,31.98393517,8,2,6,Subscribed,100.91255216895318,14110.3008
20,7,A,North,Yes,High,1849.102374,13.02136357,29.90817647,5,2,8,Subscribed,137.9358597,19483.96491
64,3,C,West,No,High,3409.064337,19.90125289,24.82242553,4,2,0,Not_Subscribed,95.09223768,8773.05942
52,2,B,East,No,Low,4883.874997,29.8933613,32.1780234,3,3,3,Not_Subscribed,84.92527671,6231.319178
31,4,C,North,Yes,Medium,4311.773721,15.88155699,34.75588436,7,2,4,Not_Subscribed,82.20971141,10193.947060490147
48,4,C,West,No,Medium,606.1773409,28.01728502,12.53104309,7,5,2,Not_Subscribed,100.91255216895318,5920.948575
48,6,C,North,Yes,Medium,4543.522721,13.625421,24.61239163,3,2,1,Subscribed,98.45796581,9614.491453
34,3,A,North,Yes,Medium,4024.39286,6.368317673,27.4505303,3,0,4,Not_Subscribed,106.8230395,11705.75987
41,5,A,East,No,Medium,4011.692556,10.10605266,32.56170606,2,0,2,Not_Subscribed,105.533816,11383.454
40,5,B,East,Yes,High,2560.980916,15.46737858,41.93311006,2,1,5,Subscribed,116.543665,14135.91625
35,5,B,East,Yes,High,2291.023818,10.49087321,22.28259185,7,3,1,Not_Subscribed,100.2600378,10065.00946
31,5,D,North,Yes,High,1863.12078,5.005675955,25.02038153,4,1,3,Subscribed,129.0706815,17267.67039
32,3,B,South,Yes,Medium,795.6268653,27.87503844,24.87465889,1,1,4,Not_Subscribed,94.70686334,8676.715834
32,10,A,East,Yes,High,1527.059136,26.09698528,21.9847241,3,2,4,Subscribed,154.4033833,10193.947060490147
23,5,B,South,Yes,High,1609.716357,23.55730579,26.52813505,10,1,5,Subscribed,112.513347,13128.33674
44,4,B,South,Yes,Low,2678.346814,9.195364891,37.7080222,3,2,2,Not_Subscribed,82.85684887,5714.212218
32,4,C,South,No,High,3863.49983,8.009089405,19.46164505,6,3,4,Subscribed,78.58215004,4645.53751
53,7,B,West,Yes,Low,2632.144228,6.690118737,34.27814395,4,5,5,Not_Subscribed,109.6494483,12412.36208
25,3,D,North,No,Medium,760.3000225,23.10072972,12.9809777,5,3,4,Subscribed,95.53074429,8882.686073
32,6,C,East,No,Medium,4810.054104,28.22019902,24.38662004,3,1,6,Subscribed,114.2800099,13570.00247
20,2,A,North,Yes,Medium,4742.259436,15.76339552,26.705107,7,3,4,Subscribed,109.4647525,12366.18812
64,4,D,North,No,Medium,4033.352944,7.9785168,46.74859673,5,0,3,Not_Subscribed,98.54342175,9635.855437
30,4,A,West,No,High,4960.975557,17.80982052,27.25197695,2,5,2,Not_Subscribed,83.06412564,5766.03141
58,4,D,West,No,Low,2950.170498,13.72079769,7.987565265,6,3,3,Subscribed,69.70305551,2425.763877
51,8,C,West,Yes,Medium,4832.457576,14.37062311,10.01111093,3,1,2,Not_Subscribed,91.06970096,7767.42524
41,5,D,North,No,Medium,840.2226828,20.5332656,30.34029586,2,3,3,Subscribed,117.1279759,14281.99397
57,8,D,South,No,Low,2145.563367,22.96795283,36.13770856,7,0,3,Subscribed,104.2818749,11070.46872
49,5,B,North,No,Low,1514.215706,7.765089972,33.75455858,6,4,3,Not_Subscribed,75.08522443,3771.306106
49,7,A,West,No,Low,1381.248879,5.88975577,31.67570106,3,2,3,Subscribed,103.4636185,10865.90463
47,8,C,North,No,Low,1133.61327,29.85825757,41.62259598,5,0,3,Not_Subscribed,107.7063476,11926.5869
30,3,D,West,No,Low,3300.861387,10.81820872,24.60408779,7,0,5,Subscribed,82.32285128,5580.712819
18,4,A,West,Yes,High,4015.948351,6.345763123,38.94910556,4,1,2,Not_Subscribed,103.0745021,10768.62553
51,6,A,East,No,Low,3102.342797,9.746883227,13.67985115,4,1,3,Subscribed,101.1641744,10291.04359
32,4,B,South,No,High,1161.332193,5.973946159,20.95052167,3,1,4,Subscribed,77.14059404,4285.148511
61,4,A,West,Yes,Low,4150.056965,14.79527237,11.92958605,6,0,3,Subscribed,107.1557472,11788.9368
31,6,C,East,Yes,Low,3361.796182,25.06004461,27.25154699,4,2,6,Subscribed,111.2156905,12803.92263
46,2,B,South,No,Medium,2246.745678,13.53111124,29.53738783,5,3,4,Subscribed,121.6610249,15415.25622
51,4,D,West,No,Medium,3533.58633,16.10458517,31.14101492,7,2,4,Not_Subscribed,121.076041,15269.01026
35,2,C,South,Yes,Medium,1669.572407,21.88966934,30.61883353,4,1,3,Not_Subscribed,72.44661264,3111.65316
24,8,C,South,No,Medium,2053.364938,17.72235175,20.72446669,3,3,4,Subscribed,81.2434992,5310.8748
46,7,C,North,No,Medium,4628.686294,26.53614215,28.09759156,1,1,5,Subscribed,110.3007053,12575.17634
48,2,B,East,Yes,Medium,1807.270276,26.65089188,15.02553331,5,5,2,Not_Subscribed,110.275719,12568.92975
42,5,A,South,No,Low,2614.947207,5.247767387,43.63228975,8,2,4,Not_Subscribed,110.3009537,12575.23843
55,6,C,North,Yes,Low,4505.635118,24.45115766,26.96373927,5,2,3,Subscribed,177.0546298,29263.65745
31,7,A,South,No,Medium,3684.746076,16.51834001,25.11113881,5,4,2,Subscribed,111.4178102,12854.45255
25,7,A,North,No,Medium,779.9145177,29.72101353,45.88940328,3,1,6,Subscribed,122.7113128,15677.8282
44,7,C,West,Yes,Medium,1162.863699,17.0808019,17.57753466,3,0,5,Subscribed,119.0800353,14770.00882
19,6,A,West,Yes,Low,535.2871585,29.67239863,18.74412886,6,3,5,Subscribed,100.91255216895318,10193.947060490147
34,5,B,North,No,Medium,3339.148056,23.86423403,19.03779675,5,1,4,Subscribed,93.69461511,8423.653777
54,5,B,West,No,Medium,2514.530414,11.21512212,29.32128618,7,1,5,Not_Subscribed,115.1793844,13794.8461
31,8,D,West,No,Low,1104.236829,18.45987448,34.3163163,6,4,5,Subscribed,84.54349571,6135.873927
42,7,A,West,Yes,Low,4810.703545,29.80339099,37.39675468,8,2,1,Subscribed,95.26362787,8815.906966
47,4,A,South,Yes,High,2883.468758,26.43826519,55.71995317,8,1,5,Not_Subscribed,90.29272904,7573.182261
46,5,D,North,Yes,Medium,1588.519824,7.434172345,7.505675458,8,3,2,Not_Subscribed,101.6374828,10409.3707
37,8,B,East,Yes,Low,2752.71607,22.65929992,36.08735589,9,1,5,Not_Subscribed,146.2931713,21573.29283
38,5,D,East,Yes,High,3558.291497,13.63948965,24.42869427,5,3,0,Subscribed,62.65469615,663.674037
39,2,D,North,Yes,Low,843.0764809,5.174556547,24.13584851,3,4,3,Not_Subscribed,113.7252038,13431.30095
52,3,D,South,No,High,1736.167168,15.08702423,23.80227872,4,4,3,Subscribed,67.74568258,1936.420644
54,7,A,West,Yes,High,4131.344709,10.86886054,20.91230329,5,1,8,Not_Subscribed,90.56136268,7640.340671
33,3,A,West,Yes,Medium,2568.491917,25.47173176,46.84524835,6,4,5,Not_Subscribed,121.7790119,15444.75298
60,8,A,South,Yes,Medium,2959.597139,13.43326522,38.42297327,7,0,3,Not_Subscribed,101.2856004,10321.4001
34,1,A,East,Yes,High,2447.67201,25.68809235,30.23195979,4,0,3,Subscribed,78.44510444,4611.27611
33,5,C,North,No,Medium,697.5497419,5.014948471,43.51015752,6,0,3,Not_Subscribed,100.91255216895318,6423.481454
19,3,D,North,Yes,Low,1245.874009,12.69547875,14.87471035,13,1,4,Not_Subscribed,113.591955,13397.98874
21,5,D,South,No,Low,2504.937374,11.02913036,16.69294869,3,4,2,Not_Subscribed,85.39266737,6348.166841
38,5,A,West,Yes,High,1441.334594,10.83918403,8.220322678,7,1,3,Subscribed,104.3291718,11082.29295
56,2,B,West,No,High,724.905629,6.704665494,23.0058546,7,2,5,Subscribed,100.91255216895318,10227.8592
51,7,C,West,Yes,Low,4296.423488,9.67810676,31.61698527,2,1,4,Subscribed,86.96799305,6741.998262
47,2,C,North,Yes,Low,4915.366381,18.88873925,31.02858578,5,5,5,Subscribed,142.8788818,10193.947060490147
23,4,B,East,Yes,High,4069.142933,12.28402682,31.49341911,2,1,3,Subscribed,112.6783804,13169.59511
34,5,A,North,Yes,Low,4342.032148,15.43486956,15.88943169,4,1,5,Not_Subscribed,59.49714827,-125.7129333
