department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
sweing,Monday,9,0.8,26.16,1093,10620,75,0,0,0,59,0.850502311
sweing,Monday,7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766
sweing,Monday,8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766
sweing,Monday,3,0.8,19.87,941,9900,0,0,0,0,55,0.800273829
sweing,Monday,6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818
sweing,Monday,12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657
sweing,Monday,2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8
sweing,Monday,10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555
sweing,Monday,5,0.65,20.79,1141,8460,0,0,0,0,59,0.650040783
sweing,Monday,11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056
sweing,Monday,4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299
sweing,Tuesday,1,0.8,26.16,1073,10620,75,0,0,0,59,0.850502311
sweing,Tuesday,9,0.8,26.16,1156,10620,75,0,0,0,59,0.850502311
sweing,Tuesday,8,0.8,25.9,1211,10260,60,0,0,0,57,0.850252525
sweing,Tuesday,7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766
sweing,Tuesday,6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753
sweing,Tuesday,12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753
sweing,Tuesday,2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8
sweing,Tuesday,3,0.8,42.27,465,9900,54,0,0,0,55,0.705576584
sweing,Tuesday,11,0.7,27.13,530,9540,37,0,0,0,53,0.582301029
sweing,Tuesday,5,0.7,20.79,1297,10440,0,0,0,0,58,0.526810345
sweing,Tuesday,4,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799
sweing,Tuesday,10,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649
sweing,Wednesday,7,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811
sweing,Wednesday,9,0.8,26.16,1232,10620,75,0,0,0,59,0.850502311
sweing,Wednesday,8,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766
sweing,Wednesday,12,0.8,11.61,1159,2970,50,0,0,0,31.5,0.800313433
sweing,Wednesday,6,0.8,11.61,972,5670,38,0,0,0,31.5,0.800246753
sweing,Wednesday,1,0.8,26.16,1092,10620,63,0,0,0,59,0.800117103
sweing,Wednesday,5,0.7,20.79,965,7320,0,0,0,0,58,0.700095563
sweing,Wednesday,4,0.6,22.4,816,5100,23,0,0,0,57,0.600369686
sweing,Wednesday,10,0.5,22.4,947,3390,23,0,0,0,56.5,0.499980334
sweing,Wednesday,11,0.35,14.61,838,7200,23,0,0,0,55,0.35003125
sweing,Wednesday,2,0.8,51.02,1086,4260,27,0,0,0,57,0.311207464
sweing,Thursday,1,0.8,26.16,1160,10620,75,0,0,0,59,0.850502311
sweing,Thursday,8,0.8,25.9,1177,8970,60,0,0,0,56.5,0.850415628
sweing,Thursday,7,0.8,25.9,1281,10170,60,0,0,0,56.5,0.850136766
sweing,Thursday,9,0.8,26.16,1369,10620,63,0,0,0,59,0.800117103
sweing,Thursday,6,0.8,11.61,1084,4950,38,0,0,0,31.5,0.80003139
sweing,Thursday,12,0.8,11.61,1216,4950,50,0,0,0,31.5,0.80003139
sweing,Thursday,5,0.7,20.79,391,10440,0,0,0,0,58,0.700060345
sweing,Thursday,3,0.5,22.52,1102,10170,30,0,0,0,56.5,0.660683293
sweing,Thursday,4,0.65,22.52,872,10080,26,0,0,0,56,0.650130952
sweing,Thursday,10,0.6,22.52,1076,10170,23,0,0,0,56.5,0.600291767
sweing,Thursday,11,0.5,14.89,917,9900,30,0,0,0,55,0.500025069
sweing,Thursday,2,0.5,22.94,1044,9810,23,0,0,0,54.5,0.499998888
sweing,Saturday,6,0.8,11.41,1067,5490,63,0,0,0,30.5,0.800343766
sweing,Saturday,12,0.8,11.61,1039,5670,63,0,0,0,31.5,0.800246753
sweing,Saturday,7,0.8,25.9,1396,10170,50,0,0,0,56.5,0.800128721
sweing,Saturday,8,0.8,25.9,1292,10170,50,0,0,0,56.5,0.800128721
sweing,Saturday,1,0.8,48.68,171,10620,63,0,0,0,59,0.800117103
sweing,Saturday,9,0.8,26.16,1128,10620,63,0,0,0,59,0.800117103
sweing,Saturday,2,0.6,22.94,865,6570,23,0,0,0,56.5,0.77011398
sweing,Saturday,4,0.7,22.52,825,10170,50,0,0,0,56.5,0.7005417
sweing,Saturday,10,0.65,22.52,1163,9720,35,0,0,0,54,0.650198653
sweing,Saturday,3,0.6,22.52,1140,10170,30,0,0,0,56.5,0.600291767
sweing,Saturday,11,0.6,14.89,1027,10080,38,0,0,0,56,0.600273268
sweing,Saturday,5,0.7,41.19,1052,10440,21,0,0,0,58,0.452012539
sweing,Sunday,6,0.8,11.41,1140,5490,63,0,0,0,30.5,0.800343766
sweing,Sunday,7,0.8,48.84,624,10170,50,0,0,0,56.5,0.800128721
sweing,Sunday,8,0.8,25.9,1288,10170,38,0,0,0,56.5,0.800128721
sweing,Sunday,9,0.8,26.16,1381,3660,50,0,0,0,59,0.800015009
sweing,Sunday,4,0.7,22.52,882,10170,50,0,0,0,56.5,0.7005417
sweing,Sunday,10,0.7,22.52,1002,10080,40,0,0,0,56,0.700094156
sweing,Sunday,12,0.8,26.87,585,5670,56,0,0,0,31.5,0.662255892
sweing,Sunday,3,0.65,22.52,1138,10170,35,0,0,0,56.5,0.650416734
sweing,Sunday,11,0.65,14.89,1140,10260,44,0,0,0,57,0.650299575
sweing,Sunday,2,0.65,22.94,1025,10170,26,0,0,0,56.5,0.650243497
sweing,Sunday,5,0.6,20.4,1031,10440,30,0,0,0,58,0.600062696
sweing,Sunday,1,0.8,49.1,1381,10350,24,0,0,0,57.5,0.403242161
sweing,Monday,6,0.8,11.41,1028,4380,50,0,0,0,31,0.800358775
sweing,Monday,8,0.8,25.9,1380,3630,50,0,0,0,56.5,0.800162602
sweing,Monday,9,0.8,26.16,1196,10620,63,0,0,0,59,0.800117103
sweing,Monday,2,0.7,22.94,1006,10170,38,0,0,0,56.5,0.750517565
sweing,Monday,4,0.7,22.52,930,10260,63,0,0,0,57,0.750068049
sweing,Monday,3,0.7,22.52,1095,10170,50,0,0,0,56.5,0.750062751
sweing,Monday,10,0.7,22.52,938,10080,63,0,0,0,56,0.750057359
sweing,Monday,11,0.7,14.89,1484,10260,50,0,0,0,57,0.700170388
sweing,Monday,5,0.65,20.4,1255,8280,35,0,0,0,58,0.650066445
sweing,Monday,7,0.8,48.84,1040,10260,30,0,0,0,57,0.576460393
sweing,Monday,1,0.5,22.94,1492,10170,30,0,0,0,56.5,0.549969429
sweing,Monday,12,0.35,15.26,1111,6120,23,0,0,0,34,0.35021836
sweing,Tuesday,6,0.8,11.41,1047,5580,63,0,0,0,31,0.800261486
sweing,Tuesday,8,0.8,25.9,1434,10170,50,0,0,0,56.5,0.800128721
sweing,Tuesday,9,0.8,26.16,399,10620,63,0,0,0,59,0.800117103
sweing,Tuesday,4,0.7,22.52,983,10260,63,0,0,0,57,0.750068049
sweing,Tuesday,10,0.7,22.52,1108,10080,63,0,0,0,56,0.750057359
sweing,Tuesday,3,0.7,22.52,1134,8460,50,0,0,0,57,0.750037968
sweing,Tuesday,2,0.7,22.94,1363,10260,50,0,0,0,57,0.750031898
sweing,Tuesday,11,0.7,14.89,1501,10260,50,0,0,0,57,0.700170388
sweing,Tuesday,5,0.7,20.4,1352,10260,50,0,0,0,57,0.700063796
sweing,Tuesday,12,0.5,15.26,1352,3720,23,0,0,0,34,0.500290419
sweing,Tuesday,7,0.35,22.94,1450,10080,30,0,0,0,56,0.400332792
sweing,Wednesday,4,0.75,22.52,825,10080,94,0,0,0,56,0.900556277
sweing,Wednesday,6,0.8,11.61,916,5760,75,0,0,0,89,0.850410511
sweing,Wednesday,8,0.8,25.9,562,7470,38,0,0,0,56.5,0.800436542
sweing,Wednesday,2,0.7,22.94,1422,10500,60,0,0,0,57,0.800415742
sweing,Wednesday,10,0.7,22.52,1206,10080,75,0,0,0,56,0.800020563
sweing,Wednesday,5,0.7,20.4,1404,10440,50,0,0,0,58,0.750344828
sweing,Wednesday,3,0.7,22.52,1139,10260,63,0,0,0,57,0.750068049
sweing,Wednesday,11,0.7,14.89,1735,10260,50,0,0,0,57,0.700170388
sweing,Wednesday,1,0.65,22.94,1595,10260,34,0,0,0,57,0.700029771
sweing,Wednesday,12,0.6,15.26,1245,6360,23,0,0,0,34,0.60017284
sweing,Wednesday,9,0.8,54.56,757,4140,29,0,0,0,58,0.520237649
sweing,Wednesday,7,0.5,22.52,1720,10080,23,0,0,0,56,0.500241342
sweing,Thursday,4,0.75,22.52,759,10080,81,0,0,0,56,0.849983766
sweing,Thursday,2,0.7,22.94,1510,10620,60,0,0,0,57,0.800302791
sweing,Thursday,6,0.8,11.61,955,6360,63,0,0,0,32,0.800191989
sweing,Thursday,10,0.75,22.52,1328,10080,55,0,0,0,56,0.800020563
sweing,Thursday,1,0.7,22.94,1384,12180,63,0,0,0,57,0.750162367
sweing,Thursday,3,0.7,22.52,1244,10260,63,0,0,0,57,0.750068049
sweing,Thursday,5,0.7,20.4,1480,10440,40,0,0,0,58,0.700250784
sweing,Thursday,11,0.7,14.89,1863,10260,50,0,0,0,57,0.700170388
sweing,Thursday,12,0.6,15.26,1492,6960,23,0,0,0,34,0.600436426
sweing,Thursday,7,0.6,22.52,1859,10260,23,0,0,0,57,0.60041361
sweing,Thursday,8,0.8,40.99,980,10770,30,0,0,0,56.5,0.555500132
sweing,Thursday,9,0.5,29.12,970,10440,30,0,0,0,58,0.500547544
sweing,Saturday,2,0.75,22.94,1606,10260,94,0,0,0,57,0.90064806
sweing,Saturday,4,0.75,22.52,727,10260,94,0,0,0,57,0.900321106
sweing,Saturday,1,0.7,22.94,1472,10260,75,0,0,0,57,0.800643806
sweing,Saturday,10,0.75,22.52,1332,10080,69,0,0,0,56,0.80062987
sweing,Saturday,6,0.8,11.61,1009,5640,63,0,0,0,32,0.800537143
sweing,Saturday,3,0.75,22.52,1266,10260,69,0,0,0,57,0.80035194
sweing,Saturday,12,0.75,15.26,1316,6120,40,0,0,0,34,0.750079323
sweing,Saturday,11,0.75,42.97,1282,10260,56,0,0,0,57,0.750041201
sweing,Saturday,5,0.7,20.4,1382,10440,50,0,0,0,58,0.700250784
sweing,Saturday,7,0.65,22.52,1295,10170,26,0,0,0,56.5,0.650416734
sweing,Saturday,9,0.6,29.12,925,6660,23,0,0,0,58,0.600125217
sweing,Saturday,8,0.35,15.09,1448,9360,23,0,0,0,52,0.34998951
sweing,Sunday,4,0.75,22.52,867,10260,94,0,0,0,57,0.900321106
sweing,Sunday,2,0.75,22.94,1636,10530,81,0,0,0,58.5,0.850223776
sweing,Sunday,1,0.7,22.94,1682,10530,75,0,0,0,58.5,0.800909609
sweing,Sunday,3,0.75,22.52,1495,10350,55,0,0,0,57.5,0.800513307
sweing,Sunday,6,0.8,11.61,1181,5760,63,0,0,0,32,0.800386364
sweing,Sunday,10,0.75,22.52,1413,10080,69,0,0,0,56,0.800020563
sweing,Sunday,7,0.7,22.52,360,10170,40,0,0,0,56.5,0.7005417
sweing,Sunday,12,0.7,15.26,1296,6120,40,0,0,0,34,0.70043672
sweing,Sunday,5,0.7,20.4,1217,10440,50,0,0,0,58,0.700250784
sweing,Sunday,9,0.65,29.12,1086,10440,26,0,0,0,58,0.650407524
sweing,Sunday,11,0.75,42.97,532,10260,40,0,0,0,57,0.59114168
sweing,Sunday,8,0.5,15.09,1557,720,23,0,0,0,52,0.500061916
sweing,Monday,4,0.8,22.52,1016,10170,60,0,0,0,56.5,0.850312684
sweing,Monday,6,0.8,11.61,1072,5760,50,0,0,0,32,0.800386364
sweing,Monday,3,0.75,22.52,1584,10260,69,0,0,0,57,0.80035194
sweing,Monday,2,0.75,22.94,1764,10260,55,0,0,0,57,0.800034024
sweing,Monday,1,0.7,22.94,1745,10440,60,0,0,0,58,0.800023511
sweing,Monday,10,0.75,22.52,1250,10080,55,0,0,0,56,0.800020563
sweing,Monday,5,0.75,20.4,1118,10320,56,0,0,0,58,0.750031447
sweing,Monday,9,0.7,29.12,1143,10440,40,0,0,0,58,0.70061442
sweing,Monday,12,0.7,15.26,1337,6120,40,0,0,0,34,0.70043672
sweing,Monday,8,0.6,15.09,1519,360,23,0,0,0,52,0.600143365
sweing,Monday,11,0.35,28.08,749,10260,23,0,0,0,57,0.350066986
sweing,Tuesday,2,0.75,22.52,1635,6840,119,0,0,0,57,1.000230409
sweing,Tuesday,3,0.75,22.52,1299,6840,119,0,0,0,57,1.000230409
sweing,Tuesday,10,0.8,22.52,1134,6720,70,0,0,0,56,0.900129762
sweing,Tuesday,4,0.8,22.52,1106,6780,60,0,0,0,56.5,0.850312684
sweing,Tuesday,1,0.75,22.94,1871,6960,55,0,0,0,58,0.800263218
sweing,Tuesday,9,0.7,29.12,1294,6960,50,0,0,0,58,0.700386207
sweing,Tuesday,12,0.7,15.26,1462,4080,40,0,0,0,34,0.700164706
sweing,Tuesday,8,0.65,15.09,976,240,23,0,0,0,52,0.650307143
sweing,Tuesday,6,0.8,30.4,338,3840,34,0,0,0,32,0.622828125
sweing,Tuesday,5,0.5,20.79,1455,6960,30,0,0,0,58,0.500035345
sweing,Tuesday,11,0.5,48.18,1282,6480,23,0,0,0,54,0.37046657
sweing,Wednesday,2,0.8,22.52,1559,6840,90,0,0,0,57,1.000230409
sweing,Wednesday,3,0.8,22.52,1350,6840,113,0,0,0,57,1.000230409
sweing,Wednesday,10,0.8,22.52,1175,6720,60,0,0,0,56,0.850532143
sweing,Wednesday,1,0.75,22.94,1868,6960,81,0,0,0,58,0.850362069
sweing,Wednesday,5,0.6,20.79,1045,6960,88,0,0,0,58,0.800534483
sweing,Wednesday,4,0.8,22.52,1342,6780,50,0,0,0,56.5,0.800489676
sweing,Wednesday,9,0.7,29.12,1340,6960,63,0,0,0,58,0.750593103
sweing,Wednesday,12,0.75,15.26,1429,3600,45,0,0,0,35,0.750283333
sweing,Wednesday,11,0.5,20.1,1413,5880,46,0,0,0,54,0.500567308
sweing,Wednesday,8,0.7,38.09,336,6240,0,0,0,0,52,0.467693269
sweing,Wednesday,6,0.35,18.79,511,1800,23,0,0,0,32,0.437995338
sweing,Wednesday,7,0.6,23.54,958,6600,0,0,0,0,55,0.285333333
sweing,Thursday,2,0.8,22.52,1416,6840,113,0,0,0,57,1.000230409
sweing,Thursday,3,0.8,22.52,1287,6840,100,0,0,0,57,0.950185965
sweing,Thursday,4,0.8,22.52,1444,6900,88,0,0,0,57.5,0.9008
sweing,Thursday,10,0.8,22.52,1088,6720,88,0,0,0,56,0.900129762
sweing,Thursday,1,0.75,22.94,1579,6960,81,0,0,0,58,0.850362069
sweing,Thursday,9,0.7,29.12,1170,6960,53,0,0,0,58,0.850170115
sweing,Thursday,5,0.65,20.79,1015,7080,81,0,0,0,59,0.800473729
sweing,Thursday,12,0.75,15.26,1436,4200,45,0,0,0,35,0.750646667
sweing,Thursday,11,0.6,20.1,1601,4320,46,0,0,0,51,0.60059761
sweing,Thursday,6,0.5,18.79,717,3960,23,0,0,0,33,0.500117677
sweing,Thursday,7,0.65,23.54,830,6600,0,0,0,0,55,0.48792
sweing,Saturday,3,0.8,22.52,1136,6960,113,0,0,0,58,1.000457471
sweing,Saturday,2,0.8,22.52,1397,6840,113,0,0,0,57,1.000230409
sweing,Saturday,10,0.8,22.52,1116,6720,93,0,0,0,56,0.920236905
sweing,Saturday,4,0.8,22.52,1432,6660,88,0,0,0,57.5,0.900537069
sweing,Saturday,9,0.75,29.12,1082,6840,81,0,0,0,57,0.850610526
sweing,Saturday,1,0.75,22.94,1502,6960,81,0,0,0,58,0.850362069
sweing,Saturday,12,0.75,15.26,1209,4200,45,0,0,0,35,0.750646667
sweing,Saturday,5,0.7,50.89,282,5880,56,0,0,0,59,0.656763743
sweing,Saturday,11,0.65,20.1,1417,6480,49,0,0,0,54,0.650148148
sweing,Saturday,6,0.6,18.79,799,3960,23,0,0,0,33,0.600710606
sweing,Saturday,7,0.7,23.54,1109,6720,0,0,0,0,56,0.388830357
sweing,Saturday,8,0.5,23.54,1144,6480,0,0,0,0,54,0.286984568
sweing,Sunday,2,0.8,22.52,1396,6900,113,0,0,0,57.5,1.000671304
sweing,Sunday,1,0.8,22.94,1582,3060,113,0,0,0,58.5,1.000402055
sweing,Sunday,3,0.8,22.52,1124,6840,100,0,0,0,57,0.950185965
sweing,Sunday,10,0.8,22.52,1282,6720,75,0,0,0,56,0.850532143
sweing,Sunday,4,0.8,22.52,1472,7020,60,0,0,0,58.5,0.85011396
sweing,Sunday,9,0.75,29.12,1282,6960,45,0,0,0,58,0.750593103
sweing,Sunday,12,0.75,15.26,1276,1440,45,0,0,0,35,0.750450658
sweing,Sunday,11,0.7,20.1,1192,6120,75,0,0,0,54,0.700508929
sweing,Sunday,6,0.65,18.79,881,3960,26,0,0,0,33,0.651007071
sweing,Sunday,8,0.6,24.26,1196,6600,0,0,0,0,55,0.466821212
sweing,Sunday,7,0.7,24.26,1400,6720,0,0,0,0,56,0.411553571
sweing,Monday,1,0.8,22.94,16882,7020,113,0,0,0,58.5,1.000602279
sweing,Monday,2,0.8,22.52,21385,7020,88,0,0,0,58.5,0.900158405
sweing,Monday,3,0.8,22.52,21266,6840,70,0,0,0,57,0.90014152
sweing,Monday,10,0.8,22.52,21540,6720,88,0,0,0,56,0.900129762
sweing,Monday,12,0.8,15.26,12261,3600,63,0,0,0,35,0.800401961
sweing,Monday,4,0.8,22.52,23122,5940,50,0,0,0,56.5,0.800393224
sweing,Monday,9,0.75,29.12,8992,6960,55,0,0,0,58,0.799963218
sweing,Monday,11,0.7,20.55,9792,6480,60,0,0,0,54,0.700398148
sweing,Monday,6,0.7,18.79,2984,3960,30,0,0,0,33,0.700354545
sweing,Monday,5,0.5,30.1,839,6960,0,0,0,0,58,0.500801724
sweing,Monday,7,0.7,24.26,2698,6720,0,0,0,0,56,0.295307738
sweing,Monday,8,0.65,24.26,1435,6600,0,0,0,0,55,0.260978788
sweing,Tuesday,1,0.8,22.52,1500,6900,113,0,0,0,57.5,1.000018551
sweing,Tuesday,10,0.8,22.52,1188,6720,90,0,0,0,56,0.999995238
sweing,Tuesday,3,0.8,22.52,1112,6840,100,0,0,0,57,0.950185965
sweing,Tuesday,2,0.8,22.52,1452,6960,100,0,0,0,58,0.949981609
sweing,Tuesday,4,0.8,22.52,340,5460,63,0,0,0,56.5,0.800434622
